Nome da Microrregião;Município;
Unaí;Arinos;13.32
Unaí;Bonfinópolis de Minas;13.32
Unaí;Buritis;13.32
Unaí;Cabeceira Grande;13.32
Unaí;Dom Bosco;13.32
Unaí;Formoso;13.32
Unaí;Natalândia;13.32
Unaí;Unaí;13.32
Unaí;Uruana de Minas;13.32
Paracatu;Brasilândia de Minas;1.7
Paracatu;Guarda-Mor;1.7
Paracatu;João Pinheiro;1.7
Paracatu;Lagamar;1.7
Paracatu;Lagoa Grande;1.7
Paracatu;Paracatu;1.7
Paracatu;Presidente Olegário;1.7
Paracatu;São Gonçalo do Abaeté;1.7
Paracatu;Varjão de Minas;1.7
Paracatu;Vazante;1.7
Januária;Bonito de Minas;0.87
Januária;Chapada Gaúcha;0.87
Januária;Cônego Marinho;0.87
Januária;Icaraí de Minas;0.87
Januária;Itacarambi;0.87
Januária;Januária;0.87
Januária;Juvenília;0.87
Januária;Manga;0.87
Januária;Matias Cardoso;0.87
Januária;Miravânia;0.87
Januária;Montalvânia;0.87
Januária;Pedras de Maria da Cruz;0.87
Januária;Pintópolis;0.87
Januária;São Francisco;0.87
Januária;São João das Missões;0.87
Januária;Urucuia;0.87
Janaúba;Catuti;16.06
Janaúba;Espinosa;16.06
Janaúba;Gameleiras;16.06
Janaúba;Jaíba;16.06
Janaúba;Janaúba;16.06
Janaúba;Mamonas;16.06
Janaúba;Mato Verde;16.06
Janaúba;Monte Azul;16.06
Janaúba;Nova Porteirinha;16.06
Janaúba;Pai Pedro;16.06
Janaúba;Porteirinha;16.06
Janaúba;Riacho dos Machados;16.06
Janaúba;Serranópolis de Minas;16.06
Salinas;Águas Vermelhas;15.12
Salinas;Berizal;15.12
Salinas;Curral de Dentro;15.12
Salinas;Divisa Alegre;15.12
Salinas;Fruta de Leite;15.12
Salinas;Indaiabira;15.12
Salinas;Montezuma;15.12
Salinas;Ninheira;15.12
Salinas;Novorizonte;15.12
Salinas;Rio Pardo de Minas;15.12
Salinas;Rubelita;15.12
Salinas;Salinas;15.12
Salinas;Santa Cruz de Salinas;15.12
Salinas;Santo Antônio do Retiro;15.12
Salinas;São João do Paraíso;15.12
Salinas;Taiobeiras;15.12
Salinas;Vargem Grande do Rio Pardo;15.12
Pirapora;Buritizeiro;4.3
Pirapora;Ibiaí;4.3
Pirapora;Jequitaí;4.3
Pirapora;Lagoa dos Patos;4.3
Pirapora;Lassance;4.3
Pirapora;Pirapora;4.3
Pirapora;Riachinho;4.3
Pirapora;Santa Fé de Minas;4.3
Pirapora;São Romão;4.3
