DMU;E(%)
Patrocínio;5.92
Três Marias;10.60
Aimorés;5.97
Cataguases;8.67
Alfenas;18.22
Almenara;5.50
Governador Valadares;10.90
Passos;81.89
Manhuaçu;23.40
Viçosa;6.44
Uberlândia;19.52
Araxá;15.91
São Sebastião do Paraíso;12.57
Formiga;3.26
Ubá;9.37
Barbacena;14.07
Itabira;9.76
Juiz de Fora;24.51
Belo Horizonte;100.00
Ipatinga;23.65
Itaguara;1.91
Varginha;13.76
Bom Despacho;3.25
Pouso Alegre;5.60
Poços de Caldas;8.71
Montes Claros;57.14
Itajubá;5.00
Sete Lagoas;38.45
São Lourenço;4.04
Campo Belo;2.49
Ituiutaba;18.62
Muriaé;15.35
Caratinga;8.59
Nanuque;6.81
Oliveira;1.28
Divinópolis;9.43
Teófilo Otoni;5.12
Pedra Azul;2.42
Uberaba;14.51
Conselheiro Lafaiete;6.39
Diamantina;0.08
Curvelo;10.31
Ouro Preto;1.20
Janaúba;16.06
Frutal;4.70
Patos de Minas;12.03
Pirapora;4.30
Januária;0.87
Lavras;8.60
São João Del-Rei;6.91
Mantena;8.58
Capelinha;8.06
Araçuaí;2.16
Paracatu;1.70
Pará de Minas;6.62
Piumhi;4.67
Ponte Nova;100.00
Santa Rita do Sapucaí;12.59
Salinas;5.44
Andrelândia;0.38
Guanhães;0.08
Unaí;1.53
